// Left-Up Start
50 50
90 50
50 90
90 90
// Right-Up Start
410 50
450 50
410 90
450 90
// Right Down Start
410 410
450 410
410 450
450 450
// Left Down Start
50 410
90 410
50 450
90 450
// Left Finish
90 250
130 250
170 250
210 250
// Up Finish
250 90
250 130
250 170
250 210
// Right Finish
410 250
370 250
330 250
290 250
// Down Finish
250 410
250 370
250 330
250 290
// Left Up Path
50 210
90 210
130 210
170 210
210 210
210 170
210 130
210 90
210 50
250 50
// Right Up Path
290 50
290 90
290 130
290 170
290 210
330 210
370 210
410 210
450 210
450 250
// Right Down Path
450 290
410 290
370 290
330 290
290 290
290 330
290 370
290 410
290 450
250 450
// Left Down Path
210 450
210 410
210 370
210 330
210 290
170 290
130 290
90 290
50 290
50 250
