// Yellow Start
50 50
90	50
50 90 
90 90	
// Green Start
 410 50
	450 50
410 90
450 90
// Red Start
410 410
450 410
410 450
450 450
// Blue Start
50 410
90 410
50 450
90 450
// Yellow Finish
90 250
130 250
170 250
210 250
// Green Finish
250 90
250 130
250 170
250 210
// Red Finish
410 250
370 250
330 250
290 250
// Blue Finish
250 410
250 370
250 330
250 290
// Yellow to Green
50 210
90 210
130 210
170 210
210 210
210 170
210 130
210 90
210 50
250 50
// Green to Red
290 50
290 90
290 130
290 170
290 210
330 210
370 210
410 210
450 210
450 250
// Red to Blue
450 290
410 290
370 290
330 290
290 290
290 330
290 370
290 410
290 450
250 450
// Blue to Yellow
210 450
210 410
210 370
210 330
210 290
170 290
130 290
90 290
50 290
50 250
